id,emergency_flag,end_time,imbalance_price_flag,imbalance_price_tag,net_imbalance_volume,net_imbalance_volume_tag,no_marginal_flag,participant_name,pboa,price_average_reference_tag,qboa,rank,resource_name,row_id,so_flag,start_time,trade_date,from_file,uploaded_date
7144073,1,2022-04-25T16:10:00,0,0,25.819,1,0,PT_500045,250.07,0,6.316,32,GU_500822,62,0,2022-04-25T16:05:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204251605.xml,2022-04-26 01:00:00.437257
7144072,1,2022-04-25T16:10:00,0,0,25.819,1,0,PT_500045,250.07,0,1.434,31,GU_500822,61,0,2022-04-25T16:05:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204251605.xml,2022-04-26 01:00:00.437257
7144071,1,2022-04-25T16:10:00,0,0,25.819,1,0,PT_500045,250.07,0,1.434,31,GU_500822,60,0,2022-04-25T16:05:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204251605.xml,2022-04-26 01:00:00.437257
7144010,1,2022-04-25T15:25:00,0,0,30.583,1,0,PT_500045,250.07,0,7.079,27,GU_500822,51,1,2022-04-25T15:20:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204251520.xml,2022-04-26 01:00:00.437257
7144009,1,2022-04-25T15:25:00,0,0,30.583,1,0,PT_500045,250.07,0,7.079,27,GU_500822,50,1,2022-04-25T15:20:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204251520.xml,2022-04-26 01:00:00.437257
7144008,1,2022-04-25T15:25:00,0,0,30.583,1,0,PT_500045,250.07,0,7.079,27,GU_500822,49,1,2022-04-25T15:20:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204251520.xml,2022-04-26 01:00:00.437257
7144007,1,2022-04-25T15:25:00,0,0,30.583,1,0,PT_500045,250.07,0,0.671,26,GU_500822,48,1,2022-04-25T15:20:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204251520.xml,2022-04-26 01:00:00.437257
7144006,1,2022-04-25T15:25:00,0,0,30.583,1,0,PT_500045,250.07,0,0.671,26,GU_500822,47,1,2022-04-25T15:20:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204251520.xml,2022-04-26 01:00:00.437257
7144005,1,2022-04-25T15:25:00,0,0,30.583,1,0,PT_500045,250.07,0,0.671,26,GU_500822,46,1,2022-04-25T15:20:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204251520.xml,2022-04-26 01:00:00.437257
7143958,1,2022-04-25T15:55:00,0,0,40.954,1,0,PT_500045,250.07,0,7.079,24,GU_500822,67,0,2022-04-25T15:50:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204251550.xml,2022-04-26 01:00:00.437257
7143957,1,2022-04-25T15:55:00,0,0,40.954,1,0,PT_500045,250.07,0,7.079,24,GU_500822,66,0,2022-04-25T15:50:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204251550.xml,2022-04-26 01:00:00.437257
7143956,1,2022-04-25T15:55:00,0,0,40.954,1,0,PT_500045,250.07,0,7.079,24,GU_500822,65,0,2022-04-25T15:50:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204251550.xml,2022-04-26 01:00:00.437257
7143955,1,2022-04-25T15:55:00,0,0,40.954,1,0,PT_500045,250.07,0,0.671,23,GU_500822,64,0,2022-04-25T15:50:00,2022-04-25,PUB_5MinImbalPrcSuppInfo_202204251550.xml,2022-04-26 01:00:00.437257
